nome,cpf,uf,idade,renda_estimada,ticket_credito,situacao,score_faixa,dias_para_vencimento,produtos_ativos,ultimo_produto_adquirido,status_atividade,canal_preferido
Roberto Rocha,***.537.445-56,SP,25,4390,495.43,restrito,Baixo,0,1,Cartao de credito,ativo,Telefone
Diego Freitas,***.427.499-81,ES,38,1570,848.21,adimplente,Medio,153,1,Conta digital,ativo,Telefone
Tatiane Oliveira,***.546.796-26,BA,69,1870,661.28,adimplente,Medio,352,3,Cartao de debito,ativo,WhatsApp
Camila Pinto,***.211.490-57,MA,41,6060,411.58,restrito,Medio,0,2,Conta digital,ativo,App
Joao Barros,***.867.647-19,SP,26,3940,796.83,adimplente,Alto,250,2,Cartao de credito,ativo,WhatsApp
Caio Pereira,***.705.275-90,SP,36,4300,329.94,adimplente,Medio,195,2,Financiamento,ativo,Agencia
Caio Ferreira,***.850.345-20,MA,30,3570,1795.36,adimplente,Medio,244,2,Seguro,ativo,WhatsApp
Wesley Souza,***.747.551-23,SP,33,3840,150.00,adimplente,Alto,270,2,Cartao de credito,ativo,App
Igor Souza,***.113.607-67,GO,41,4190,532.50,restrito,Baixo,0,1,Seguro,ativo,WhatsApp
Vinicius Monteiro,***.486.558-81,MA,46,8040,1106.15,adimplente,Alto,145,2,Cartao de credito,ativo,WhatsApp
Diego Mendes,***.760.891-64,SP,50,4230,847.24,adimplente,Baixo,335,2,Cartao de debito,ativo,Telefone
Maria Dias,***.547.785-33,SP,44,3680,2438.98,adimplente,Medio,332,2,Seguro,ativo,App
Lucas Lima,***.407.540-76,RO,61,1200,1049.31,restrito,Baixo,0,2,Emprestimo pessoal,ativo,WhatsApp
Igor Monteiro,***.263.554-38,MG,58,2760,429.07,adimplente,Alto,139,1,Investimento,ativo,WhatsApp
Aline Castro,***.296.795-50,MG,74,2270,741.87,adimplente,Medio,140,2,Cartao de credito,ativo,Agencia
Juliana Souza,***.829.227-34,SP,28,2950,680.44,restrito,Baixo,0,1,Conta digital,ativo,WhatsApp
Renata Cavalcanti,***.138.616-88,RJ,46,5390,770.55,adimplente,Medio,123,2,Financiamento,ativo,App
Camila Castro,***.426.105-74,SP,49,3790,916.76,adimplente,Alto,127,1,Emprestimo pessoal,ativo,App
Vinicius Ferreira,***.360.854-99,SP,68,1230,1384.25,adimplente,Medio,57,2,Investimento,inativo,App
Adriana Ferreira,***.804.362-57,MG,33,1840,1465.40,adimplente,Medio,318,3,Conta digital,ativo,Telefone
Gustavo Freitas,***.385.252-61,SE,25,6190,578.06,adimplente,Alto,34,2,Financiamento,ativo,WhatsApp
Sandra Correia,***.775.237-73,MG,48,3800,284.35,restrito,Baixo,0,3,Conta digital,inativo,WhatsApp
Sandra Correia,***.184.924-64,AM,49,1520,832.52,adimplente,Alto,62,4,Cartao de credito,inativo,Telefone
Maria Pereira,***.649.301-27,BA,35,4460,1220.53,adimplente,Medio,302,2,Financiamento,inativo,WhatsApp
Adriana Castro,***.356.445-23,SP,28,3080,279.82,adimplente,Alto,292,3,Investimento,ativo,Agencia
Claudia Rocha,***.177.321-70,RJ,29,1700,699.26,adimplente,Alto,93,1,Seguro,ativo,App
Otavio Lima,***.722.955-74,SP,31,3670,740.64,restrito,Medio,0,3,Financiamento,inativo,WhatsApp
Bruna Ferreira,***.171.308-33,MA,33,4010,442.37,adimplente,Medio,223,4,Cartao de debito,ativo,WhatsApp
Leticia Silva,***.460.941-27,CE,47,3410,3000.00,adimplente,Medio,182,1,Investimento,inativo,WhatsApp
Lucas Gomes,***.887.959-44,SC,34,11300,962.53,restrito,Baixo,0,3,Cartao de credito,inativo,WhatsApp
Carlos Carvalho,***.648.283-42,PA,45,3410,348.00,adimplente,Medio,213,1,Investimento,ativo,WhatsApp
Bruna Almeida,***.903.436-43,SP,27,6340,757.99,restrito,Baixo,0,3,Emprestimo pessoal,ativo,WhatsApp
Sabrina Cavalcanti,***.683.437-39,SP,67,1350,1201.34,restrito,Baixo,0,2,Financiamento,ativo,WhatsApp
Marcio Monteiro,***.827.352-14,SP,32,4490,348.31,restrito,Baixo,0,1,Investimento,inativo,WhatsApp
Igor Barros,***.403.418-25,MG,44,7110,745.19,adimplente,Medio,269,3,Conta digital,ativo,Agencia
Beatriz Araujo,***.206.935-44,SP,36,7960,309.45,adimplente,Medio,355,4,Conta digital,ativo,App
Marcio Silva,***.259.846-28,SP,71,2850,501.75,adimplente,Medio,96,2,Cartao de credito,ativo,Agencia
Otavio Nascimento,***.329.291-23,PR,34,3050,724.85,adimplente,Alto,57,2,Cartao de credito,ativo,WhatsApp
Tatiane Martins,***.113.307-49,MG,38,2820,441.86,adimplente,Medio,271,1,Conta digital,ativo,WhatsApp
Camila Rodrigues,***.454.557-71,PR,43,4740,446.22,restrito,Baixo,0,1,Cartao de credito,ativo,App
Carlos Souza,***.613.220-52,RR,27,9630,721.20,restrito,Baixo,0,4,Conta digital,ativo,WhatsApp
Gabriel Mendes,***.256.955-32,MG,18,1390,503.19,adimplente,Medio,132,3,Cartao de credito,ativo,WhatsApp
Mariana Nascimento,***.635.253-24,RJ,49,7290,552.28,adimplente,Medio,99,2,Emprestimo pessoal,ativo,App
Bruno Ferreira,***.390.885-22,MA,36,7430,307.36,adimplente,Alto,86,2,Emprestimo pessoal,ativo,Agencia
Thiago Costa,***.477.873-48,PA,35,8700,518.96,adimplente,Alto,15,2,Emprestimo pessoal,ativo,Telefone
Sandra Rocha,***.405.867-87,MG,35,7880,1138.62,adimplente,Alto,12,1,Emprestimo pessoal,ativo,WhatsApp
Bruno Carvalho,***.818.337-38,SP,42,2160,601.43,adimplente,Baixo,301,1,Conta digital,ativo,App
Ana Carvalho,***.763.554-32,RJ,41,1480,774.87,adimplente,Baixo,8,2,Cartao de debito,inativo,WhatsApp
Camila Rodrigues,***.985.842-56,SP,38,1200,401.09,adimplente,Alto,250,3,Financiamento,inativo,WhatsApp
Eduardo Oliveira,***.601.265-81,SP,48,2990,225.12,adimplente,Medio,335,1,Cartao de credito,ativo,WhatsApp
Daniel Correia,***.970.830-11,PE,30,4880,572.61,adimplente,Alto,105,1,Cartao de credito,ativo,Telefone
Adriana Araujo,***.248.446-54,PB,41,3500,648.29,adimplente,Alto,117,2,Seguro,ativo,Agencia
Andre Gomes,***.905.842-84,BA,49,4240,1457.27,restrito,Baixo,0,2,Conta digital,inativo,WhatsApp
Gustavo Ferreira,***.274.450-18,MS,32,4850,594.79,restrito,Baixo,0,1,Conta digital,ativo,WhatsApp
Marcio Rocha,***.403.700-77,ES,64,2550,394.19,adimplente,Alto,84,2,Seguro,ativo,WhatsApp
Lucas Monteiro,***.924.732-25,DF,19,7680,488.99,adimplente,Medio,77,4,Investimento,ativo,WhatsApp
Sandra Santos,***.187.201-91,SP,36,1930,541.52,restrito,Baixo,0,4,Financiamento,inativo,App
Vanessa Rocha,***.751.698-45,BA,24,1950,706.00,adimplente,Medio,277,2,Conta digital,ativo,WhatsApp
Fabio Carvalho,***.666.144-46,AM,34,1620,733.97,adimplente,Baixo,330,2,Emprestimo pessoal,ativo,WhatsApp
Vinicius Araujo,***.151.752-89,PR,30,2210,699.78,restrito,Baixo,0,1,Cartao de debito,inativo,App
Andre Souza,***.279.585-40,SP,52,4180,539.30,restrito,Baixo,0,1,Investimento,ativo,WhatsApp
Aline Pereira,***.627.278-64,SP,27,5870,1381.19,adimplente,Medio,204,1,Seguro,ativo,WhatsApp
Gustavo Dias,***.885.540-58,MA,49,5070,1081.02,adimplente,Baixo,28,3,Investimento,inativo,App
Maria Pereira,***.714.397-67,RJ,54,3030,437.14,adimplente,Alto,227,1,Cartao de credito,ativo,WhatsApp
Thiago Mendes,***.168.594-82,BA,31,6480,858.79,restrito,Baixo,0,3,Financiamento,ativo,WhatsApp
Andre Barros,***.514.221-72,RJ,46,9090,1568.51,adimplente,Alto,288,1,Conta digital,ativo,WhatsApp
Larissa Monteiro,***.565.467-80,PR,23,1730,1181.75,restrito,Medio,0,1,Conta digital,ativo,Telefone
Jose Cardoso,***.665.180-45,SP,34,4350,342.69,adimplente,Alto,176,1,Seguro,ativo,App
Pedro Moreira,***.232.765-89,BA,63,4250,464.60,adimplente,Medio,97,3,Financiamento,ativo,App
Maria Nascimento,***.848.452-68,ES,64,4290,150.00,adimplente,Alto,283,1,Emprestimo pessoal,ativo,Telefone
Adriana Santos,***.629.444-99,TO,35,1200,883.06,adimplente,Medio,288,1,Cartao de debito,inativo,WhatsApp
Lucas Souza,***.862.273-63,SP,29,2630,476.79,adimplente,Medio,149,3,Financiamento,ativo,App
Renata Gomes,***.613.436-99,DF,29,4860,661.78,restrito,Baixo,0,2,Cartao de credito,ativo,WhatsApp
Rafael Costa,***.394.880-66,SC,48,1590,649.23,restrito,Baixo,0,1,Emprestimo pessoal,inativo,WhatsApp
Larissa Pinto,***.467.856-77,BA,43,5540,392.60,restrito,Alto,0,2,Conta digital,ativo,WhatsApp
Claudia Moreira,***.144.895-81,BA,71,5720,1300.48,restrito,Medio,0,1,Emprestimo pessoal,inativo,WhatsApp
Andre Ferreira,***.218.270-10,MA,42,2230,547.04,restrito,Baixo,0,3,Financiamento,ativo,App
Marcio Cardoso,***.615.111-34,RN,60,7720,485.30,adimplente,Alto,296,1,Financiamento,ativo,WhatsApp
Fabio Silva,***.589.888-18,AM,53,2750,1771.93,adimplente,Alto,90,3,Seguro,ativo,WhatsApp
Pedro Dias,***.680.489-26,BA,22,5990,1244.19,adimplente,Medio,175,3,Cartao de credito,ativo,WhatsApp
Carlos Souza,***.714.667-85,BA,27,1690,1027.71,restrito,Baixo,0,2,Cartao de credito,ativo,App
Camila Castro,***.882.663-13,SC,42,4070,295.22,adimplente,Medio,116,3,Financiamento,ativo,App
Pedro Carvalho,***.846.872-42,SP,39,6170,1381.10,adimplente,Alto,29,3,Emprestimo pessoal,ativo,WhatsApp
Patricia Rocha,***.598.461-43,RJ,24,1640,519.83,adimplente,Alto,182,3,Investimento,ativo,WhatsApp
Marcos Rodrigues,***.721.350-62,RS,46,3090,932.96,adimplente,Medio,140,4,Conta digital,ativo,WhatsApp
Eduardo Costa,***.487.775-83,BA,38,2950,1044.16,adimplente,Alto,204,2,Conta digital,ativo,WhatsApp
Sergio Barros,***.622.414-35,RS,40,3550,525.68,adimplente,Alto,335,1,Conta digital,inativo,WhatsApp
Sergio Rocha,***.617.688-67,SP,49,2650,424.22,restrito,Medio,0,4,Cartao de debito,inativo,WhatsApp
Marcos Santos,***.374.266-78,MG,20,1220,623.27,adimplente,Medio,65,1,Cartao de debito,inativo,Agencia
Diego Cardoso,***.732.802-62,SP,34,4810,1583.65,adimplente,Medio,200,2,Conta digital,ativo,WhatsApp
Larissa Rodrigues,***.810.162-28,PR,53,2710,388.62,restrito,Baixo,0,1,Seguro,ativo,WhatsApp
Caio Santos,***.242.138-66,BA,31,2620,308.32,adimplente,Medio,32,1,Investimento,ativo,Agencia
Amanda Costa,***.288.757-30,BA,42,1800,794.24,adimplente,Alto,267,1,Financiamento,ativo,Telefone
Sandra Souza,***.152.212-61,SP,59,2540,410.85,adimplente,Alto,363,1,Investimento,ativo,Telefone
Caio Teixeira,***.708.369-38,PA,27,5340,330.28,adimplente,Medio,350,4,Cartao de debito,ativo,WhatsApp
Rafael Monteiro,***.492.404-25,RR,46,1200,299.58,restrito,Baixo,0,2,Cartao de credito,ativo,Agencia
Andre Barros,***.347.341-10,CE,37,8320,782.99,adimplente,Baixo,198,2,Conta digital,ativo,WhatsApp
Antonio Lima,***.273.596-46,RR,58,3560,1623.29,adimplente,Medio,234,2,Seguro,inativo,WhatsApp
Mariana Barbosa,***.485.671-59,RS,55,1410,990.66,adimplente,Alto,74,1,Investimento,ativo,WhatsApp
Sergio Monteiro,***.716.236-87,PA,42,3840,1071.36,adimplente,Alto,151,1,Emprestimo pessoal,ativo,WhatsApp
Amanda Carvalho,***.958.996-38,RJ,32,4700,198.35,adimplente,Alto,337,3,Conta digital,ativo,WhatsApp
Juliana Carvalho,***.965.862-35,SP,44,3220,729.29,adimplente,Baixo,325,3,Cartao de credito,ativo,Telefone
Eduardo Costa,***.912.869-57,SP,56,3020,883.12,adimplente,Alto,205,1,Financiamento,ativo,WhatsApp
Claudia Santos,***.530.165-49,PE,20,4140,646.74,adimplente,Alto,145,3,Financiamento,ativo,WhatsApp
Renata Almeida,***.226.463-26,SP,30,1660,189.73,adimplente,Baixo,99,1,Financiamento,ativo,App
Bruna Lima,***.201.612-88,GO,38,2080,1045.61,adimplente,Alto,314,1,Financiamento,ativo,WhatsApp
Beatriz Santos,***.585.587-89,MG,72,1380,1100.83,restrito,Alto,0,2,Investimento,ativo,Agencia
Andre Pereira,***.866.256-39,BA,32,3980,728.04,restrito,Baixo,0,2,Emprestimo pessoal,ativo,WhatsApp
Joao Costa,***.692.233-69,PR,27,4800,207.69,restrito,Medio,0,3,Conta digital,ativo,App
Mariana Rodrigues,***.536.668-15,BA,26,2320,406.27,adimplente,Medio,303,4,Investimento,ativo,App
Bruno Ribeiro,***.506.813-87,RJ,35,1540,307.99,restrito,Baixo,0,1,Emprestimo pessoal,ativo,WhatsApp
Joao Barros,***.617.380-39,BA,74,6000,503.86,adimplente,Medio,186,2,Seguro,ativo,App
Carlos Cavalcanti,***.931.869-22,PA,36,3510,434.35,restrito,Baixo,0,1,Cartao de debito,ativo,WhatsApp
Marcos Pereira,***.204.625-25,RS,51,8300,926.92,restrito,Baixo,0,3,Emprestimo pessoal,ativo,Telefone
Ana Barbosa,***.801.493-81,SC,47,3430,653.02,adimplente,Medio,18,1,Emprestimo pessoal,ativo,Telefone
Felipe Castro,***.212.237-78,BA,35,2250,397.93,adimplente,Alto,98,4,Cartao de debito,ativo,WhatsApp
Antonio Costa,***.264.895-59,PA,47,1200,488.01,adimplente,Medio,266,3,Emprestimo pessoal,ativo,Agencia
Maria Almeida,***.347.617-16,SP,49,1570,566.76,adimplente,Alto,328,2,Cartao de credito,ativo,WhatsApp
Rodrigo Freitas,***.521.586-35,MA,43,1850,778.36,restrito,Baixo,0,3,Financiamento,ativo,Agencia
Jose Cardoso,***.348.298-43,PA,34,2620,516.89,adimplente,Medio,357,4,Cartao de credito,ativo,WhatsApp
Aline Martins,***.905.257-18,SP,68,7290,988.36,adimplente,Medio,355,1,Financiamento,ativo,WhatsApp
Francisco Castro,***.829.776-67,PR,19,2060,282.51,adimplente,Medio,31,1,Investimento,ativo,WhatsApp
Maria Cardoso,***.263.675-67,PR,26,1200,333.10,restrito,Baixo,0,3,Cartao de credito,inativo,App
Eduardo Cavalcanti,***.793.604-44,AL,53,4170,863.26,restrito,Baixo,0,1,Emprestimo pessoal,inativo,Agencia
Francisco Almeida,***.215.996-88,PR,40,3470,1265.10,adimplente,Medio,126,1,Financiamento,ativo,WhatsApp
Antonio Almeida,***.244.820-86,SP,48,2450,1003.00,restrito,Baixo,0,1,Cartao de debito,ativo,WhatsApp
Lucas Araujo,***.401.157-95,SP,37,8840,552.15,restrito,Baixo,0,2,Investimento,ativo,WhatsApp
Marcos Barros,***.687.354-42,RJ,48,1260,720.25,adimplente,Baixo,219,2,Emprestimo pessoal,ativo,WhatsApp
Wesley Castro,***.274.216-53,AM,48,3300,1203.96,adimplente,Alto,189,4,Conta digital,inativo,App
Andre Almeida,***.261.618-36,PE,66,3050,325.70,restrito,Medio,0,4,Cartao de debito,ativo,App
Paulo Costa,***.291.744-55,SP,39,4080,353.88,adimplente,Medio,298,4,Seguro,inativo,Agencia
Camila Carvalho,***.691.775-64,SP,27,9330,215.71,adimplente,Alto,134,2,Investimento,ativo,WhatsApp
Beatriz Ferreira,***.564.843-55,SP,33,3380,615.65,adimplente,Alto,119,2,Investimento,ativo,WhatsApp
Gustavo Lima,***.302.877-74,MG,45,4180,899.85,adimplente,Alto,208,3,Seguro,ativo,WhatsApp
Pedro Gomes,***.267.910-26,PE,20,1860,1049.84,restrito,Medio,0,1,Cartao de credito,ativo,App
Jose Oliveira,***.269.302-48,PA,32,3780,660.03,adimplente,Medio,363,4,Seguro,ativo,App
Joao Santos,***.135.186-18,PR,21,1710,670.35,adimplente,Alto,127,1,Conta digital,ativo,WhatsApp
Bruna Mendes,***.657.122-19,SP,39,1970,389.91,adimplente,Alto,278,2,Cartao de debito,ativo,WhatsApp
Sandra Lima,***.190.321-28,RS,39,2320,1014.80,adimplente,Medio,350,4,Cartao de debito,ativo,WhatsApp
Lucas Oliveira,***.812.140-89,MG,42,4790,437.71,restrito,Medio,0,1,Financiamento,inativo,App
Felipe Cavalcanti,***.398.185-13,PE,35,3210,480.30,adimplente,Baixo,167,3,Seguro,ativo,Telefone
Larissa Mendes,***.716.246-94,SP,27,1210,642.65,adimplente,Alto,212,1,Conta digital,ativo,Agencia
Gustavo Freitas,***.252.864-85,MG,49,3160,1033.57,restrito,Baixo,0,1,Financiamento,ativo,WhatsApp
Sergio Araujo,***.170.420-31,MS,45,2580,437.67,adimplente,Medio,17,2,Financiamento,ativo,WhatsApp
Patricia Barbosa,***.702.421-54,PR,41,5010,818.39,adimplente,Baixo,352,4,Seguro,ativo,WhatsApp
Carlos Oliveira,***.583.160-89,MG,38,1590,893.14,adimplente,Alto,10,1,Seguro,ativo,WhatsApp
Francisco Cardoso,***.876.232-21,MT,38,22620,619.56,adimplente,Medio,23,1,Conta digital,ativo,WhatsApp
Bruna Lima,***.333.278-65,RS,51,3330,521.29,adimplente,Medio,213,3,Investimento,ativo,WhatsApp
Tatiane Oliveira,***.762.865-47,RJ,29,1840,324.74,adimplente,Medio,354,3,Cartao de debito,ativo,App
Bruno Barbosa,***.893.781-97,CE,54,1940,417.93,adimplente,Medio,211,3,Investimento,ativo,WhatsApp
Adriana Gomes,***.221.959-62,SC,45,1340,1283.17,adimplente,Medio,4,1,Emprestimo pessoal,ativo,App
Lucas Moreira,***.142.629-55,SP,36,4890,1254.50,adimplente,Alto,83,2,Financiamento,ativo,WhatsApp
Claudia Ribeiro,***.927.695-39,SC,48,2380,254.97,restrito,Medio,0,2,Investimento,ativo,WhatsApp
Caio Ribeiro,***.886.672-84,SP,48,1340,497.43,adimplente,Medio,337,1,Financiamento,ativo,WhatsApp
Bruno Barros,***.811.639-46,RJ,44,1530,1680.52,adimplente,Medio,89,3,Cartao de debito,inativo,App
Pedro Barros,***.531.720-69,PE,20,4220,852.56,restrito,Baixo,0,3,Seguro,ativo,WhatsApp
Aline Nascimento,***.334.901-50,SE,45,7270,305.46,adimplente,Medio,8,1,Cartao de credito,ativo,WhatsApp
Gustavo Souza,***.664.139-17,PR,65,5240,549.79,adimplente,Medio,280,1,Financiamento,inativo,WhatsApp
Felipe Oliveira,***.818.478-57,PR,51,5570,919.61,adimplente,Medio,13,4,Emprestimo pessoal,inativo,WhatsApp
Daniel Carvalho,***.412.261-96,SP,30,3580,1195.70,restrito,Baixo,0,3,Financiamento,ativo,WhatsApp
Marcio Gomes,***.821.765-57,BA,59,2250,1231.54,restrito,Medio,0,3,Conta digital,ativo,WhatsApp
Roberto Barros,***.445.844-82,MG,70,3340,617.92,adimplente,Medio,137,4,Conta digital,ativo,App
Roberto Rocha,***.723.706-52,PR,41,1270,462.82,adimplente,Alto,153,2,Conta digital,ativo,WhatsApp
Pedro Mendes,***.756.317-82,RJ,47,4060,643.56,adimplente,Medio,113,1,Investimento,ativo,WhatsApp
Renata Rocha,***.682.904-21,AL,42,10780,449.82,adimplente,Alto,358,4,Cartao de debito,ativo,WhatsApp
Joao Oliveira,***.443.247-48,PE,36,5700,502.22,adimplente,Medio,350,2,Emprestimo pessoal,inativo,WhatsApp
Sabrina Cardoso,***.869.260-54,MG,51,2740,534.09,restrito,Baixo,0,2,Emprestimo pessoal,inativo,App
Wesley Dias,***.113.965-72,PE,32,6560,955.47,adimplente,Alto,74,3,Cartao de credito,ativo,WhatsApp
Caio Barros,***.587.274-40,AM,41,5900,703.03,adimplente,Alto,31,3,Cartao de debito,ativo,WhatsApp
Carlos Souza,***.844.639-83,SP,43,2440,290.63,restrito,Medio,0,3,Conta digital,inativo,App
Adriana Araujo,***.607.527-12,PA,54,2410,454.21,adimplente,Alto,5,4,Seguro,ativo,App
Beatriz Mendes,***.700.637-50,BA,49,2470,247.10,adimplente,Alto,274,2,Investimento,inativo,WhatsApp
Gustavo Freitas,***.891.982-13,RS,47,3880,1190.54,adimplente,Medio,303,2,Cartao de credito,ativo,WhatsApp
Patricia Rodrigues,***.925.843-20,CE,24,1460,386.49,adimplente,Alto,31,3,Conta digital,ativo,Telefone
Camila Mendes,***.445.584-97,BA,30,3330,335.12,adimplente,Alto,173,2,Investimento,ativo,Telefone
Sergio Teixeira,***.922.984-71,SP,45,7800,514.20,restrito,Baixo,0,4,Seguro,ativo,WhatsApp
Carlos Nascimento,***.947.848-54,MT,27,3600,721.11,adimplente,Medio,120,2,Investimento,ativo,WhatsApp
Sabrina Rodrigues,***.544.429-44,PA,56,5200,853.79,adimplente,Medio,131,3,Conta digital,inativo,App
Igor Almeida,***.205.443-34,CE,35,3800,1156.52,adimplente,Alto,120,4,Financiamento,ativo,WhatsApp
Paulo Correia,***.861.918-22,MG,33,8800,241.27,adimplente,Medio,211,4,Conta digital,ativo,WhatsApp
Rafael Cardoso,***.899.760-43,SP,35,2510,237.95,adimplente,Alto,318,2,Cartao de credito,ativo,Telefone
Fabio Martins,***.918.695-41,SP,62,3730,458.85,restrito,Baixo,0,4,Seguro,ativo,WhatsApp
Maria Nascimento,***.159.992-63,PR,27,4570,1099.13,restrito,Baixo,0,1,Financiamento,ativo,App
Renata Barros,***.984.793-46,SP,46,8630,348.79,restrito,Baixo,0,2,Financiamento,inativo,App
Wesley Santos,***.127.564-55,MA,42,4570,814.41,adimplente,Alto,240,1,Cartao de credito,ativo,WhatsApp
Sandra Mendes,***.849.110-75,PB,61,5200,705.50,restrito,Baixo,0,3,Seguro,inativo,Telefone
Beatriz Souza,***.697.769-78,SC,53,5790,1154.85,adimplente,Alto,272,1,Investimento,ativo,WhatsApp
Mariana Silva,***.763.801-22,CE,67,2560,713.04,adimplente,Medio,210,1,Conta digital,ativo,WhatsApp
Eduardo Carvalho,***.682.278-97,SP,33,6040,582.98,adimplente,Alto,205,1,Financiamento,ativo,WhatsApp
Felipe Nascimento,***.935.212-40,SC,46,1910,289.68,adimplente,Medio,232,4,Financiamento,inativo,Telefone
Rafael Martins,***.128.800-40,GO,43,6590,1904.68,adimplente,Medio,80,1,Emprestimo pessoal,ativo,WhatsApp
Fabio Barros,***.906.863-36,MG,59,3470,629.58,restrito,Medio,0,1,Cartao de debito,ativo,WhatsApp
Leticia Barros,***.747.303-30,MA,21,1290,1041.47,adimplente,Medio,25,3,Emprestimo pessoal,ativo,WhatsApp
Leandro Teixeira,***.172.519-31,BA,60,1680,1271.32,restrito,Medio,0,3,Seguro,ativo,WhatsApp
Camila Cavalcanti,***.219.345-24,SP,33,5060,350.35,adimplente,Medio,248,4,Investimento,ativo,App
Carlos Mendes,***.488.335-77,SP,70,1970,795.21,restrito,Baixo,0,1,Cartao de debito,ativo,WhatsApp
Jose Teixeira,***.951.787-90,SP,44,3220,447.83,adimplente,Medio,115,2,Cartao de credito,ativo,App
Adriana Rodrigues,***.498.302-10,GO,27,1200,510.97,adimplente,Medio,135,1,Emprestimo pessoal,ativo,WhatsApp
Paulo Rocha,***.766.191-82,RJ,39,7270,267.81,adimplente,Baixo,110,2,Emprestimo pessoal,ativo,App
Daniel Ferreira,***.628.189-61,SP,35,1690,503.30,adimplente,Medio,143,2,Seguro,ativo,WhatsApp
Adriana Oliveira,***.280.601-93,MG,36,4520,1184.59,adimplente,Alto,114,3,Cartao de debito,ativo,App
Aline Souza,***.260.340-83,RS,48,1200,530.45,adimplente,Baixo,225,2,Financiamento,ativo,WhatsApp
Fabio Lima,***.784.649-21,BA,44,2530,378.76,restrito,Baixo,0,1,Seguro,ativo,WhatsApp
Claudia Dias,***.871.239-36,PE,42,1540,811.90,restrito,Medio,0,3,Financiamento,ativo,App
Francisco Rocha,***.389.531-64,SP,49,2280,277.99,adimplente,Medio,122,1,Financiamento,ativo,App
Igor Pereira,***.802.277-40,SP,44,2150,649.67,restrito,Baixo,0,4,Conta digital,ativo,App
Carlos Mendes,***.904.273-63,AM,45,1850,1619.78,adimplente,Medio,234,2,Seguro,inativo,App
Bruno Martins,***.813.174-89,MG,64,1200,488.58,adimplente,Medio,229,2,Seguro,ativo,WhatsApp
Jose Monteiro,***.908.726-65,PR,74,1970,345.95,adimplente,Baixo,340,4,Cartao de debito,ativo,Agencia
Lucas Moreira,***.500.142-44,CE,42,4160,1003.19,adimplente,Medio,331,4,Conta digital,ativo,WhatsApp
Maria Carvalho,***.479.825-77,AM,33,5290,829.35,restrito,Baixo,0,3,Financiamento,ativo,App
Rafael Silva,***.221.223-33,SP,27,7720,872.27,adimplente,Alto,135,1,Emprestimo pessoal,ativo,WhatsApp
Gustavo Ferreira,***.826.806-16,PA,34,3980,666.40,adimplente,Alto,1,3,Conta digital,inativo,Telefone
Diego Pinto,***.336.971-33,BA,54,6710,1897.93,restrito,Baixo,0,3,Seguro,ativo,WhatsApp
Leticia Martins,***.652.428-41,RN,37,3330,370.81,adimplente,Medio,175,3,Investimento,ativo,WhatsApp
Luiz Freitas,***.695.643-91,RJ,72,5180,208.24,restrito,Baixo,0,1,Emprestimo pessoal,ativo,Agencia
Thiago Oliveira,***.992.450-66,PE,40,1390,933.12,adimplente,Alto,50,4,Conta digital,inativo,WhatsApp
Wesley Ribeiro,***.693.497-11,SP,65,2790,478.08,adimplente,Alto,302,1,Cartao de debito,inativo,Telefone
Renata Silva,***.350.217-52,PA,61,1620,1989.06,restrito,Medio,0,3,Conta digital,ativo,Telefone
Jose Araujo,***.544.673-67,MG,38,1690,1014.40,adimplente,Baixo,103,1,Investimento,inativo,App
Sandra Araujo,***.415.361-28,PR,35,5800,301.98,restrito,Baixo,0,2,Cartao de credito,inativo,WhatsApp
Rafael Pinto,***.318.323-39,MG,30,3520,602.59,adimplente,Medio,56,4,Seguro,inativo,Agencia
Leticia Costa,***.816.869-98,MT,20,9170,1560.33,adimplente,Alto,0,2,Conta digital,ativo,App
Leticia Pinto,***.499.238-22,SP,46,6900,782.22,adimplente,Alto,45,1,Cartao de debito,ativo,WhatsApp
Renata Dias,***.139.108-93,MG,39,4960,341.13,adimplente,Medio,4,4,Cartao de debito,ativo,WhatsApp
Claudia Ribeiro,***.357.372-74,RN,38,2100,1018.60,adimplente,Alto,56,4,Emprestimo pessoal,ativo,WhatsApp
Paulo Monteiro,***.112.266-72,AL,45,7060,403.80,restrito,Baixo,0,1,Seguro,inativo,WhatsApp
Renata Teixeira,***.231.721-79,BA,43,1200,552.76,adimplente,Medio,189,3,Conta digital,ativo,App
Claudia Pereira,***.303.948-29,BA,18,6640,462.00,adimplente,Medio,95,2,Seguro,ativo,WhatsApp
Renata Araujo,***.958.901-45,AC,42,1890,782.67,adimplente,Medio,97,1,Cartao de credito,ativo,WhatsApp
Sabrina Pereira,***.905.668-27,DF,20,5360,1056.58,adimplente,Alto,184,3,Financiamento,ativo,Agencia
Beatriz Souza,***.205.140-82,RJ,54,11090,813.90,adimplente,Medio,314,2,Emprestimo pessoal,ativo,App
Carlos Mendes,***.914.477-31,RS,64,4600,1092.69,adimplente,Medio,23,2,Seguro,ativo,Telefone
Pedro Mendes,***.693.187-23,CE,18,2490,509.39,restrito,Baixo,0,1,Conta digital,ativo,WhatsApp
Adriana Costa,***.607.608-38,DF,43,3080,1162.78,adimplente,Medio,274,3,Cartao de credito,ativo,WhatsApp
Vinicius Barros,***.126.187-54,PB,46,2090,1387.87,restrito,Baixo,0,1,Emprestimo pessoal,inativo,Telefone
Roberto Teixeira,***.773.956-18,MG,73,3360,561.58,adimplente,Medio,177,3,Financiamento,ativo,App
